station;location;country;initial
132;Unknown;Unknown;UKN0
166;Unknown;Unknown;UKN1
204;Unknown;Unknown;UKN2
249;Unknown;Unknown;UKN3
286;Unknown;Unknown;UKN4
337;Unknown;Unknown;UKN5
346;Unknown;Unknown;UKN6
413;Unknown;Unknown;UKN7
441;Unknown;Unknown;UKN8
486;Unknown;Unknown;UKN9
499;Unknown;Unknown;UKN10
507;Unknown;Unknown;UKN11
527;Unknown;Unknown;UKN12
528;Unknown;Unknown;UKN13
605;Unknown;Unknown;UKN14
659;Unknown;Unknown;UKN15
784;Unknown;Unknown;UKN16
820;Unknown;Unknown;UKN17
921;Unknown;Unknown;UKN18
966;Unknown;Unknown;UKN19
A;Unknown;Unknown;UKN20
AA9;Unknown;Unknown;UKN21
AC1;Unknown;Unknown;UKN22
AD1;Unknown;Unknown;UKN23
DC3;Unknown;Unknown;UKN24
DD3;Unknown;Unknown;UKN25
EO5;Unknown;Unknown;UKN26
GVF;Unknown;Unknown;UKN27
HZ1HM;Mekkah;Arab Saudi;MKH
IW3IPM;Colognola ai Colli;Italia;CAC
JH1;Unknown;Unknown;UKN28
JH1ESB;Pasifik;Pasifik;PSF
K6DRS;California;USA;CAL
KL0XP;Alaska;USA;ALS
NT0;Unknown;Unknown;UKN29
NT0A;Riverside;USA;RVS
PS0;Unknown;Unknown;UKN30
PS0PRIOK;Unknown;Unknown;UKN31
R1BBG;Novosaratovka;Rusia;NVS
SE8;Unknown;Unknown;UKN32
SM3FXL;Stockholm;Swedia;STH
VA7;Unknown;Unknown;UKN33
VA7UW;Kawartha Lakes;Canada;K0M0
VE0ROV;Kawartha Lakes;Canada;K0M1
VK2;Unknown;Unknown;UKN34
VK2EHQ;Fredonia;USA;FDA
YD0;Unknown;Unknown;UKN35
YD0OVK;Wonosobo;Indonesia;WSB
YD0OXH;Bandung;Indonesia;BDG
YD0OXH1;Pamengpeuk;Indonesia;PMK
YD0OXH1A;Sumedang;Indonesia;SMGD
YD0OXH3;Watukosek;Indonesia;WKT
YD0OXH5;Kototabang;Indonesia;KTB
YD0OXH5A;Pekanbaru;Indonesia;PKU
YD0OXH7;Pontianak;Indonesia;PTK
YD0OXH8;Manado;Indonesia;MDC
YD0OXH9;Biak;Indonesia;BIK
YD0OXH9A;Kupang;Indonesia;KOE